min_dist_goal_base,mean_dist_goal_base,min_dist_to_env,mean_dist_to_env,min_dist_goal_right_arm,min_dist_goal_left_arm,done_any,done_sum,episode,file
0.08680908354187637,0.5019763308137148,-0.12600107669244465,0.14938038770820697,0.0029487628950591823,0.002129962724691488,True,5,0,data
0.08680908354187637,0.5019763308137148,-0.12600107669244465,0.14938038770820697,0.0029487628950591823,0.002129962724691488,True,5,0,data
0.08680908354187637,0.5019763308137148,-0.12600107669244465,0.14938038770820697,0.0029487628950591823,0.002129962724691488,True,5,0,data
0.08680908354187637,0.5019763308137148,-0.12600107669244465,0.14938038770820697,0.0029487628950591823,0.002129962724691488,True,5,0,data
0.08680908354187637,0.5019763308137148,-0.12600107669244465,0.14938038770820697,0.0029487628950591823,0.002129962724691488,True,5,0,data
0.08680908354187637,0.5019763308137148,-0.12600107669244465,0.14938038770820697,0.0029487628950591823,0.002129962724691488,True,5,0,data
0.08680908354187637,0.5019763308137148,-0.12600107669244465,0.14938038770820697,0.0029487628950591823,0.002129962724691488,True,5,0,data
0.07987993223496952,0.522763396272803,-0.013487448441327696,0.13323181285541616,0.0023140216814502056,0.00653901073020893,True,4,0,data
0.07973962256182941,0.5223355932003042,-0.0016071540981206778,0.13372638853191932,0.001213888337869265,0.0062458709731040615,True,4,0,data
0.07973962256182941,0.5223355932003042,-0.0016071540981206778,0.13372638853191932,0.001213888337869265,0.0062458709731040615,True,4,0,data
0.07973962256182941,0.5223355932003042,-0.0016071540981206778,0.13372638853191932,0.001213888337869265,0.0062458709731040615,True,4,0,data
0.07973962256182941,0.5223355932003042,-0.0016071540981206778,0.13372638853191932,0.001213888337869265,0.0062458709731040615,True,4,0,data
0.07973962256182941,0.5223355932003042,-0.0016071540981206778,0.13372638853191932,0.001213888337869265,0.0062458709731040615,True,4,0,data
0.07973962256182941,0.5223355932003042,-0.0016071540981206778,0.13372638853191932,0.001213888337869265,0.0062458709731040615,True,4,0,data
0.07973962256182941,0.5223355932003042,-0.0016071540981206778,0.13372638853191932,0.001213888337869265,0.0062458709731040615,True,4,0,data
